"","Notes","State","State.Code","Age.of.Mother.9","Age.of.Mother.9.Code","Mother.s.Single.Race.6","Mother.s.Single.Race.6.Code","Year.of.Death","Year.of.Death.Code","Month","Month.Code","Deaths","Births","Death.Rate"
"231","","Texas",48,"20-24 years","20-24","White","2106-3",2021,2021,"June",6,26,5138,"5.06"
"232","","Florida",12,"25-29 years","25-29","White","2106-3",2021,2021,"April",4,17,3357,"5.06 (Unreliable)"
"233","","Ohio",39,"30-34 years","30-34","White","2106-3",2022,2022,"July",7,13,2566,"5.07 (Unreliable)"
"234","","Pennsylvania",42,"25-29 years","25-29","White","2106-3",2021,2021,"July",7,13,2563,"5.07 (Unreliable)"
"235","","Michigan",26,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,10,1962,"5.10 (Unreliable)"
"236","","Pennsylvania",42,"30-34 years","30-34","White","2106-3",2022,2022,"November",11,14,2741,"5.11 (Unreliable)"
"237","","New York",36,"25-29 years","25-29","White","2106-3",2022,2022,"August",8,15,2934,"5.11 (Unreliable)"
"238","","Ohio",39,"25-29 years","25-29","White","2106-3",2022,2022,"May",5,13,2507,"5.19 (Unreliable)"
"239","","Ohio",39,"25-29 years","25-29","White","2106-3",2021,2021,"September",9,14,2695,"5.19 (Unreliable)"
"240","","Illinois",17,"25-29 years","25-29","White","2106-3",2021,2021,"October",10,11,2117,"5.20 (Unreliable)"
"241","","Florida",12,"20-24 years","20-24","White","2106-3",2022,2022,"May",5,10,1918,"5.21 (Unreliable)"
"242","","Illinois",17,"30-34 years","30-34","White","2106-3",2021,2021,"April",4,15,2875,"5.22 (Unreliable)"
"243","","Texas",48,"30-34 years","30-34","White","2106-3",2021,2021,"July",7,37,7089,"5.22"
